Disease,Symptoms,Specialist
Ulcer,"nausea, loss of appetite, bloating",Gastroenterologist
Prostate Cancer,"urinary difficulties, pelvic pain, erectile dysfunction",Oncologist
Osteoporosis,"bone fractures, back pain, weak bones",Orthopedist
Cervical Cancer,"weight loss, pelvic pain, abnormal bleeding",Oncologist
Prostate Cancer,"pelvic pain, urinary difficulties, erectile dysfunction",Oncologist
Epilepsy,"unconsciousness, confusion, seizures",Neurologist
Gallstones,"vomiting, abdominal pain, nausea",Gastroenterologist
Influenza,"fever, sore throat, muscle pain, cough",General Physician
Skin Allergy,"swelling, redness, rashes, itching",Dermatologist
Migraine,"nausea, sensitivity to light and sound, severe headache",Neurologist
Influenza,"cough, muscle pain, sore throat, fatigue, fever",General Physician
Influenza,"fever, muscle pain, cough",General Physician
Chickenpox,"body aches, itchy rash, fever, fatigue",General Physician
Gastroenteritis,"diarrhea, stomach pain, vomiting, dehydration",Gastroenterologist
Skin Allergy,"itching, redness, rashes",Dermatologist
Tuberculosis,"weight loss, persistent cough, fever, night sweats",Pulmonologist
Pneumonia,"cough with phlegm, fever, chest pain, difficulty breathing",Pulmonologist
Lung Cancer,"weight loss, persistent cough, shortness of breath",Oncologist
Tuberculosis,"fever, persistent cough, weight loss",Pulmonologist
Lung Cancer,"chest pain, weight loss, persistent cough",Oncologist
Chronic Kidney Disease,"fatigue, swelling in legs, high blood pressure, frequent urination",Nephrologist
Arthritis,"joint pain, stiffness, swelling",Rheumatologist
Parkinson's Disease,"tremors, balance issues, stiffness",Neurologist
Thyroid Disorder,"hair thinning, fatigue, mood swings, weight changes",Endocrinologist
Influenza,"muscle pain, fatigue, fever",General Physician
Malaria,"fever, muscle aches, sweating",Infectious Disease Specialist
Typhoid,"constipation, abdominal pain, weakness, high fever",General Physician
Arthritis,"swelling, reduced range of motion, stiffness, joint pain",Rheumatologist
Hypertension,"headache, dizziness, nosebleeds",Cardiologist
Arthritis,"joint pain, swelling, reduced range of motion, stiffness",Rheumatologist
Stroke,"confusion, vision problems, sudden numbness, trouble speaking",Neurologist
Hypertension,"blurred vision, nosebleeds, dizziness",Cardiologist
Psoriasis,"itching, joint pain, scaling",Dermatologist
Ulcer,"loss of appetite, nausea, burning stomach pain, bloating",Gastroenterologist
Ulcer,"nausea, loss of appetite, bloating",Gastroenterologist
Leukemia,"fatigue, weight loss, frequent infections, bruising",Hematologist
Stroke,"sudden numbness, trouble speaking, vision problems, confusion",Neurologist
Anemia,"fatigue, shortness of breath, pale skin",Hematologist
Glaucoma,"halos around lights, nausea, vision loss, eye pain",Ophthalmologist
Psoriasis,"red patches of skin, joint pain, itching",Dermatologist
Tonsillitis,"difficulty swallowing, fever, sore throat, swollen tonsils",ENT Specialist
Migraine,"nausea, severe headache, sensitivity to light and sound",Neurologist
Chronic Kidney Disease,"high blood pressure, fatigue, frequent urination, swelling in legs",Nephrologist
Heart Attack,"chest pain, shortness of breath, dizziness",Cardiologist
Glaucoma,"halos around lights, eye pain, vision loss, nausea",Ophthalmologist
Alzheimer’s Disease,"memory loss, confusion, difficulty reasoning",Neurologist
Typhoid,"high fever, constipation, weakness, abdominal pain",General Physician
Hypertension,"blurred vision, headache, dizziness, nosebleeds",Cardiologist
Gallstones,"abdominal pain, vomiting, bloating, nausea",Gastroenterologist
Stroke,"trouble speaking, sudden numbness, vision problems, confusion",Neurologist
Epilepsy,"unconsciousness, jerking movements, confusion, seizures",Neurologist
Lung Cancer,"persistent cough, weight loss, chest pain",Oncologist
Dengue,"high fever, severe headache, joint pain",Infectious Disease Specialist
Psoriasis,"itching, scaling, red patches of skin, joint pain",Dermatologist
Tuberculosis,"fever, weight loss, persistent cough, night sweats",Pulmonologist
Tonsillitis,"swollen tonsils, fever, difficulty swallowing",ENT Specialist
Alzheimer’s Disease,"mood changes, difficulty reasoning, memory loss",Neurologist
Psoriasis,"red patches of skin, scaling, itching, joint pain",Dermatologist
Acne,"inflammation, oily skin, blackheads, pimples",Dermatologist
Depression,"sleep disturbances, loss of interest, persistent sadness, fatigue",Psychiatrist
Lung Cancer,"weight loss, chest pain, shortness of breath",Oncologist
Anemia,"fatigue, dizziness, shortness of breath",Hematologist
Stroke,"trouble speaking, vision problems, sudden numbness, confusion",Neurologist
Hypertension,"dizziness, blurred vision, nosebleeds",Cardiologist
Cervical Cancer,"pelvic pain, fatigue, abnormal bleeding",Oncologist
Heart Attack,"nausea, dizziness, chest pain, shortness of breath",Cardiologist
Arthritis,"joint pain, reduced range of motion, stiffness, swelling",Rheumatologist
Epilepsy,"confusion, seizures, unconsciousness",Neurologist
Chronic Kidney Disease,"high blood pressure, swelling in legs, fatigue",Nephrologist
Epilepsy,"seizures, unconsciousness, confusion, jerking movements",Neurologist
Alzheimer’s Disease,"difficulty reasoning, mood changes, confusion, memory loss",Neurologist
Sinusitis,"nasal congestion, cough, headache, facial pain",ENT Specialist
Influenza,"fatigue, muscle pain, cough, sore throat, fever",General Physician
Arthritis,"reduced range of motion, stiffness, swelling",Rheumatologist
Hypertension,"blurred vision, nosebleeds, headache",Cardiologist
Diabetes,"increased thirst, frequent urination, fatigue",Endocrinologist
Glaucoma,"halos around lights, eye pain, vision loss",Ophthalmologist
Skin Allergy,"rashes, itching, redness, swelling",Dermatologist
Chronic Kidney Disease,"high blood pressure, fatigue, frequent urination, swelling in legs",Nephrologist
Appendicitis,"abdominal pain, fever, vomiting",Surgeon
Prostate Cancer,"urinary difficulties, erectile dysfunction, pelvic pain",Oncologist
Tuberculosis,"persistent cough, fever, night sweats, weight loss",Pulmonologist
Diabetes,"fatigue, frequent urination, increased thirst",Endocrinologist
Tuberculosis,"night sweats, fever, weight loss",Pulmonologist
Hypertension,"dizziness, headache, nosebleeds",Cardiologist
Gastroenteritis,"diarrhea, dehydration, vomiting",Gastroenterologist
Acne,"pimples, inflammation, blackheads",Dermatologist
Osteoporosis,"bone fractures, weak bones, loss of height",Orthopedist
